vertical,seed
ecommerce,Shopify store
ecommerce,D2C brand
ecommerce,online boutique
ecommerce,e-commerce store
ecommerce,online retailer
ecommerce,fashion brand
ecommerce,beauty brand
ecommerce,sustainable brand
hospitality,boutique hotel
hospitality,coffee shop
hospitality,spa
hospitality,restaurant
hospitality,yoga studio
hospitality,fitness studio
hospitality,beauty salon
hospitality,cocktail bar
hospitality,co-working cafe
professional,dental clinic
professional,law firm
professional,physiotherapy clinic
professional,real estate agency
professional,accounting firm
professional,plastic surgeon
professional,veterinary clinic
professional,optometrist
professional,private school
professional,private hospital
b2b,digital marketing agency
b2b,SaaS company
b2b,coworking space
b2b,consulting firm
b2b,web development agency
b2b,advertising agency
b2b,branding studio
b2b,UX design studio
b2b,recruitment agency
